order_id,order_date,product_id,category,price,quantity,total_amount,region,payment_type
ORD1001,2025-01-01,PRD501,Electronics,499.99,1,499.99,North,Card
ORD1002,2025-01-01,PRD302,Home Appliances,249.50,2,499.00,West,UPI
ORD1003,2025-01-01,PRD784,Fashion,79.99,3,239.97,South,Wallet
ORD1004,2025-01-02,PRD129,Books,15.99,4,63.96,East,Card
ORD1005,2025-01-02,PRD643,Electronics,1299.00,1,1299.00,North,Card
ORD1006,2025-01-02,PRD455,Beauty,29.99,5,149.95,South,UPI
ORD1007,2025-01-03,PRD888,Sports,199.00,2,398.00,West,Wallet
ORD1008,2025-01-03,PRD214,Toys,39.50,3,118.50,East,UPI
ORD1009,2025-01-03,PRD777,Furniture,899.99,1,899.99,North,Card
ORD1010,2025-01-04,PRD390,Electronics,59.99,4,239.96,South,Wallet
ORD1011,2025-01-04,PRD564,Groceries,9.99,10,99.90,West,UPI
ORD1012,2025-01-04,PRD901,Fashion,149.99,2,299.98,East,Card
ORD1013,2025-01-05,PRD678,Home Decor,89.00,3,267.00,North,Wallet
ORD1014,2025-01-05,PRD321,Books,22.50,2,45.00,South,UPI
ORD1015,2025-01-05,PRD852,Electronics,349.99,1,349.99,West,Card
ORD1016,2025-01-06,PRD501,Electronics,499.99,2,999.98,East,Card
ORD1017,2025-01-06,PRD302,Home Appliances,249.50,1,249.50,North,UPI
ORD1018,2025-01-06,PRD784,Fashion,79.99,4,319.96,West,Wallet
ORD1019,2025-01-07,PRD129,Books,15.99,6,95.94,South,Card
ORD1020,2025-01-07,PRD643,Electronics,1299.00,1,1299.00,East,Card
ORD1021,2025-01-07,PRD455,Beauty,29.99,3,89.97,North,UPI
ORD1022,2025-01-08,PRD888,Sports,199.00,1,199.00,West,Wallet
ORD1023,2025-01-08,PRD214,Toys,39.50,5,197.50,South,UPI
ORD1024,2025-01-08,PRD777,Furniture,899.99,1,899.99,East,Card
ORD1025,2025-01-09,PRD390,Electronics,59.99,2,119.98,North,Wallet
ORD1026,2025-01-09,PRD564,Groceries,9.99,12,119.88,West,UPI
ORD1027,2025-01-09,PRD901,Fashion,149.99,1,149.99,South,Card
ORD1028,2025-01-10,PRD678,Home Decor,89.00,4,356.00,East,Wallet
ORD1029,2025-01-10,PRD321,Books,22.50,3,67.50,North,UPI
ORD1030,2025-01-10,PRD852,Electronics,349.99,2,699.98,West,Card
ORD1031,2025-01-11,PRD501,Electronics,499.99,1,499.99,South,Card
ORD1032,2025-01-11,PRD302,Home Appliances,249.50,3,748.50,East,UPI
ORD1033,2025-01-11,PRD784,Fashion,79.99,2,159.98,North,Wallet
ORD1034,2025-01-12,PRD129,Books,15.99,5,79.95,West,Card
ORD1035,2025-01-12,PRD643,Electronics,1299.00,1,1299.00,South,Card
ORD1036,2025-01-12,PRD455,Beauty,29.99,6,179.94,East,UPI
ORD1037,2025-01-13,PRD888,Sports,199.00,2,398.00,North,Wallet
ORD1038,2025-01-13,PRD214,Toys,39.50,4,158.00,West,UPI
ORD1039,2025-01-13,PRD777,Furniture,899.99,1,899.99,South,Card
ORD1040,2025-01-14,PRD390,Electronics,59.99,3,179.97,East,Wallet
ORD1041,2025-01-14,PRD564,Groceries,9.99,8,79.92,North,UPI
ORD1042,2025-01-14,PRD901,Fashion,149.99,2,299.98,West,Card
ORD1043,2025-01-15,PRD678,Home Decor,89.00,2,178.00,South,Wallet
ORD1044,2025-01-15,PRD321,Books,22.50,4,90.00,East,UPI
ORD1045,2025-01-15,PRD852,Electronics,349.99,1,349.99,North,Card
ORD1046,2025-01-16,PRD501,Electronics,499.99,3,1499.97,West,Card
ORD1047,2025-01-16,PRD302,Home Appliances,249.50,2,499.00,South,UPI
ORD1048,2025-01-16,PRD784,Fashion,79.99,5,399.95,East,Wallet
ORD1049,2025-01-17,PRD129,Books,15.99,7,111.93,North,Card
ORD1050,2025-01-17,PRD643,Electronics,1299.00,1,1299.00,West,Card
ORD1051,2025-01-17,PRD455,Beauty,29.99,4,119.96,South,UPI
ORD1052,2025-01-18,PRD888,Sports,199.00,3,597.00,East,Wallet
ORD1053,2025-01-18,PRD214,Toys,39.50,2,79.00,North,UPI
ORD1054,2025-01-18,PRD777,Furniture,899.99,1,899.99,West,Card
ORD1055,2025-01-19,PRD390,Electronics,59.99,5,299.95,South,Wallet
ORD1056,2025-01-19,PRD564,Groceries,9.99,15,149.85,East,UPI
ORD1057,2025-01-19,PRD901,Fashion,149.99,3,449.97,North,Card
ORD1058,2025-01-20,PRD678,Home Decor,89.00,1,89.00,West,Wallet
ORD1059,2025-01-20,PRD321,Books,22.50,6,135.00,South,UPI
ORD1060,2025-01-20,PRD852,Electronics,349.99,2,699.98,East,Card
ORD1061,2025-01-21,PRD501,Electronics,499.99,1,499.99,North,Card
ORD1062,2025-01-21,PRD302,Home Appliances,249.50,4,998.00,West,UPI
ORD1063,2025-01-21,PRD784,Fashion,79.99,3,239.97,South,Wallet
ORD1064,2025-01-22,PRD129,Books,15.99,2,31.98,East,Card
ORD1065,2025-01-22,PRD643,Electronics,1299.00,1,1299.00,North,Card
ORD1066,2025-01-22,PRD455,Beauty,29.99,7,209.93,West,UPI
ORD1067,2025-01-23,PRD888,Sports,199.00,1,199.00,South,Wallet
ORD1068,2025-01-23,PRD214,Toys,39.50,6,237.00,East,UPI
ORD1069,2025-01-23,PRD777,Furniture,899.99,1,899.99,North,Card
ORD1070,2025-01-24,PRD390,Electronics,59.99,4,239.96,West,Wallet
ORD1071,2025-01-24,PRD564,Groceries,9.99,9,89.91,South,UPI
ORD1072,2025-01-24,PRD901,Fashion,149.99,2,299.98,East,Card
ORD1073,2025-01-25,PRD678,Home Decor,89.00,5,445.00,North,Wallet
ORD1074,2025-01-25,PRD321,Books,22.50,1,22.50,West,UPI
ORD1075,2025-01-25,PRD852,Electronics,349.99,3,1049.97,South,Card
ORD1076,2025-01-26,PRD501,Electronics,499.99,2,999.98,East,Card
ORD1077,2025-01-26,PRD302,Home Appliances,249.50,1,249.50,North,UPI
ORD1078,2025-01-26,PRD784,Fashion,79.99,6,479.94,West,Wallet
ORD1079,2025-01-27,PRD129,Books,15.99,3,47.97,South,Card
ORD1080,2025-01-27,PRD643,Electronics,1299.00,1,1299.00,East,Card
ORD1081,2025-01-27,PRD455,Beauty,29.99,2,59.98,North,UPI
ORD1082,2025-01-28,PRD888,Sports,199.00,4,796.00,West,Wallet
ORD1083,2025-01-28,PRD214,Toys,39.50,1,39.50,South,UPI
ORD1084,2025-01-28,PRD777,Furniture,899.99,1,899.99,East,Card
ORD1085,2025-01-29,PRD390,Electronics,59.99,6,359.94,North,Wallet
ORD1086,2025-01-29,PRD564,Groceries,9.99,20,199.80,West,UPI
ORD1087,2025-01-29,PRD901,Fashion,149.99,1,149.99,South,Card
ORD1088,2025-01-30,PRD678,Home Decor,89.00,3,267.00,East,Wallet
ORD1089,2025-01-30,PRD321,Books,22.50,5,112.50,North,UPI
ORD1090,2025-01-30,PRD852,Electronics,349.99,2,699.98,West,Card
ORD1091,2025-01-31,PRD501,Electronics,499.99,1,499.99,South,Card
ORD1092,2025-01-31,PRD302,Home Appliances,249.50,2,499.00,East,UPI
ORD1093,2025-01-31,PRD784,Fashion,79.99,4,319.96,North,Wallet
ORD1094,2025-01-31,PRD129,Books,15.99,2,31.98,West,Card
ORD1095,2025-01-31,PRD643,Electronics,1299.00,1,1299.00,South,Card
ORD1096,2025-01-31,PRD455,Beauty,29.99,3,89.97,East,UPI
ORD1097,2025-01-31,PRD888,Sports,199.00,2,398.00,North,Wallet
ORD1098,2025-01-31,PRD214,Toys,39.50,4,158.00,West,UPI
ORD1099,2025-01-31,PRD777,Furniture,899.99,1,899.99,South,Card
ORD1100,2025-01-31,PRD390,Electronics,59.99,1,59.99,East,Wallet
